221,18;245,44;270,82;297,35;324,99;443,51;455,35;467,21;479,05;490,90;502,74;514,60;526,45;538,29;550,15;561,99;573,85;585,69;597,54
240,82;265,90;292,11;319,46;366,23;448,90;460,74;472,59;484,44;496,28;508,15;519,99;531,84;543,68;555,53;567,38;579,22;591,08;602,93
260,98;286,88;313,91;360,08;371,36;454,27;466,13;477,98;489,82;501,67;513,52;525,38;537,22;549,07;560,92;572,76;584,61;596,45;608,32
281,65;308,37;353,92;365,21;376,49;459,66;471,50;483,37;495,21;507,06;518,91;530,75;542,61;554,45;566,31;578,15;589,99;601,86;613,70
302,84;347,77;359,05;370,34;381,62;465,04;476,91;488,75;500,60;512,44;524,30;536,14;547,98;559,84;571,69;583,54;595,38;607,24;619,09
411,19;423,03;434,89;446,74;458,59;470,43;482,29;494,14;505,98;517,83;529,68;541,53;553,37;565,21;577,08;588,92;600,77;612,62;624,47
416,58;428,42;440,26;452,13;463,97;475,82;487,67;499,52;511,37;523,22;535,07;546,91;558,76;570,62;582,47;594,31;606,15;618,01;629,85
421,96;433,81;445,67;457,52;469,36;481,20;493,06;504,90;516,75;528,60;540,46;552,30;564,14;576,00;587,85;599,70;611,54;623,40;635,24
427,35;439,19;451,05;462,90;474,75;486,59;498,45;510,29;522,13;533,98;545,84;557,69;569,53;581,38;593,23;605,08;616,93;628,78;640,63
432,74;444,58;456,43;468,28;480,13;491,98;503,83;515,68;527,52;539,38;551,23;563,07;574,92;586,77;598,62;610,46;622,31;634,17;646,01
438,12;449,97;461,82;473,67;485,51;497,36;509,22;521,06;532,91;544,76;556,62;568,46;580,30;592,16;604,00;615,85;627,69;639,55;651,40
443,51;455,35;467,21;479,05;490,90;502,74;514,60;526,45;538,29;550,15;561,99;573,85;585,69;597,54;609,39;621,23;633,10;644,94;656,79
448,90;460,74;472,59;484,44;496,28;508,15;519,99;531,84;543,68;555,53;567,38;579,22;591,08;602,93;614,77;626,62;638,47;650,33;662,17
