72,77;81,69;90,62;99,54;108,60;117,66;126,73;135,79;144,85;153,93;162,99;172,04;202,71;211,77;220,83;255,78;264,97;274,15;283,33;292,53;301,71;310,89;320,08;329,26;338,44;347,65;356,83;366,01;375,20;384,38;393,56;402,75;411,93;421,11;430,31;439,50;448,68;457,87;467,05;476,23;485,43;494,61;503,79;512,98;522,16;531,35
75,25;84,62;93,99;103,36;112,87;122,39;131,90;141,40;150,92;160,43;169,93;179,45;210,55;220,05;229,56;264,97;274,61;284,27;293,92;303,58;313,22;322,89;332,53;342,19;351,84;361,50;371,14;380,81;390,45;400,11;409,78;419,42;429,07;438,73;448,38;458,02;467,70;477,34;486,99;496,65;506,30;515,94;525,61;535,25;544,91;554,55
77,74;87,56;97,37;107,19;117,16;127,11;137,06;147,03;156,98;166,93;176,90;186,85;218,39;228,34;264,20;274,15;284,27;294,36;304,44;314,54;324,65;334,75;344,83;354,95;365,04;375,14;385,26;395,34;405,45;415,55;425,65;435,74;445,85;455,94;466,04;476,14;486,25;496,33;506,45;516,54;526,64;536,74;546,84;556,93;567,03;577,15
80,24;90,50;100,77;111,03;121,43;131,82;142,24;152,64;163,03;173,45;183,85;194,24;226,23;236,64;272,93;283,33;293,92;304,44;314,96;325,52;336,06;346,61;357,17;367,70;378,25;388,80;399,35;409,88;420,44;430,97;441,52;452,07;462,62;473,15;483,71;494,25;504,80;515,34;525,89;536,43;546,99;557,54;568,07;578,62;589,16;599,71
82,73;93,43;104,14;114,85;125,70;136,56;147,40;158,25;169,10;179,95;190,79;201,64;234,08;270,82;281,67;292,53;303,58;314,54;325,52;336,49;347,48;358,48;369,47;380,45;391,46;402,44;413,43;424,43;435,42;446,40;457,41;468,39;479,38;490,38;501,37;512,35;523,36;534,35;545,33;556,34;567,32;578,32;589,30;600,30;611,28;622,28
85,21;96,37;107,52;118,68;129,98;141,27;152,56;163,87;175,16;186,45;197,74;230,64;241,93;279,11;290,42;301,71;313,22;324,65;336,06;347,48;358,91;370,33;381,77;393,21;404,66;416,08;427,54;438,96;450,40;461,84;473,28;484,71;496,16;507,60;519,03;530,49;541,91;553,35;564,79;576,23;587,66;599,10;610,54;621,98;633,40;644,86
87,71;99,31;110,92;122,52;134,25;145,99;157,74;169,48;181,22;192,95;204,70;238,03;275,66;287,41;299,15;310,89;322,89;334,75;346,61;358,48;370,33;382,19;394,09;405,96;417,85;429,74;441,62;453,50;465,40;477,28;489,16;501,06;512,93;524,82;536,70;548,59;560,46;572,36;584,23;596,12;607,99;619,89;631,77;643,65;655,54;667,43
90,20;102,25;114,29;126,34;138,53;150,72;162,91;175,09;187,27;199,47;233,24;245,42;283,52;295,70;307,88;320,08;332,53;344,83;357,17;369,47;381,77;394,09;406,40;418,71;431,06;443,38;455,71;468,06;480,38;492,71;505,04;517,38;529,69;542,04;554,36;566,69;579,03;591,36;603,68;616,01;628,34;640,68;652,99;665,34;677,67;689,99
92,68;105,18;117,67;130,17;142,81;155,44;168,07;180,70;193,34;205,97;240,19;278,73;291,36;303,99;316,63;329,26;342,19;354,95;367,70;380,45;393,21;405,96;418,71;431,49;444,26;457,04;469,81;482,59;495,36;508,15;520,92;533,70;546,47;559,25;572,02;584,81;597,58;610,36;623,12;635,91;648,69;661,46;674,25;687,01;699,79;712,57
95,19;108,13;121,07;134,01;147,08;160,16;173,23;186,32;199,40;234,06;247,15;286,12;299,20;312,29;325,36;338,44;351,84;365,04;378,25;391,46;404,66;417,85;431,06;444,26;457,45;470,69;483,90;497,13;510,35;523,58;536,79;550,03;563,24;576,46;589,69;602,92;616,13;629,35;642,59;655,80;669,03;682,25;695,48;708,69;721,93;735,14
