0,00;1,28;2,56;3,85;5,13;28,56;29,95;31,34;32,72;34,11;35,50;36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58
1,28;2,56;3,85;5,13;6,41;29,95;31,34;32,72;34,11;35,50;36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97
2,56;3,85;5,13;6,41;7,69;31,34;32,72;34,11;35,50;36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36
3,85;5,13;6,41;7,69;8,98;32,72;34,11;35,50;36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75
5,13;6,41;7,69;8,98;10,26;34,11;35,50;36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13
28,56;29,95;31,34;32,72;34,11;35,50;36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13;96,52
29,95;31,34;32,72;34,11;35,50;36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13;96,52;97,91
31,34;32,72;34,11;35,50;36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13;96,52;97,91;99,29
32,72;34,11;35,50;36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13;96,52;97,91;99,29;100,68
34,11;35,50;36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13;96,52;97,91;99,29;100,68;102,07
35,50;36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13;96,52;97,91;99,29;100,68;102,07;103,45
36,89;38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13;96,52;97,91;99,29;100,68;102,07;103,45;104,84
38,27;39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13;96,52;97,91;99,29;100,68;102,07;103,45;104,84;106,23
39,66;41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13;96,52;97,91;99,29;100,68;102,07;103,45;104,84;106,23;107,61
41,05;42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13;96,52;97,91;99,29;100,68;102,07;103,45;104,84;106,23;107,61;109,00
42,43;43,82;45,21;46,59;47,98;49,37;50,75;52,14;53,53;54,91;56,30;57,69;59,07;60,46;61,85;63,24;64,62;66,01;67,40;68,78;70,17;71,56;72,94;74,33;75,72;77,10;78,49;79,88;81,26;82,65;84,04;85,42;86,81;88,20;89,58;90,97;92,36;93,75;95,13;96,52;97,91;99,29;100,68;102,07;103,45;104,84;106,23;107,61;109,00;110,39
