347,77;360,08;372,39;384,70;397,01;482,28;495,21;509,21;522,14;535,07;547,99;560,92;573,84;586,77;599,69;612,62;625,55;639,55;652,48
352,90;365,21;378,54;390,85;403,16;488,75;501,67;514,60;527,53;540,45;553,38;566,30;580,31;593,23;606,16;619,08;632,01;644,94;657,86
359,05;371,36;383,67;395,98;408,29;494,13;507,06;521,06;533,99;546,91;559,84;572,77;585,69;598,62;611,54;624,47;637,40;651,40;664,32
364,18;376,49;389,83;402,14;414,45;500,60;513,52;526,45;539,37;552,30;565,23;578,15;592,15;605,08;618,01;630,93;643,86;656,78;669,71
370,34;382,65;394,96;407,27;419,58;505,98;518,91;532,91;545,84;558,76;571,69;584,61;597,54;610,47;623,39;636,32;649,24;663,25;676,17
446,74;459,66;473,67;486,59;499,52;512,45;525,37;538,30;551,22;564,15;577,07;590,00;604,00;616,93;629,86;642,78;655,71;668,63;681,56
453,20;466,13;479,05;491,98;504,91;517,83;530,76;544,76;557,69;570,61;583,54;596,46;609,39;622,32;635,24;648,17;661,09;675,10;688,02
458,59;471,51;485,52;498,44;511,37;524,29;537,22;550,15;563,07;576,00;588,92;601,85;615,85;628,78;641,70;654,63;667,56;680,48;693,41
465,05;477,98;490,90;503,83;516,75;529,68;542,61;556,61;569,53;582,46;595,39;608,31;621,24;634,16;647,09;660,02;672,94;686,94;699,87
470,44;483,36;497,37;510,29;523,22;536,14;549,07;561,99;574,92;587,85;600,77;613,70;627,70;640,63;653,55;666,48;679,40;692,33;705,26
476,90;489,82;502,75;515,68;528,60;541,53;554,45;568,46;581,38;594,31;607,23;620,16;633,09;646,01;658,94;671,86;684,79;698,79;711,72
482,28;495,21;509,21;522,14;535,07;547,99;560,92;573,84;586,77;599,69;612,62;625,55;639,55;652,48;665,40;678,33;691,25;704,18;717,10
488,75;501,67;514,60;527,53;540,45;553,38;566,30;580,31;593,23;606,16;619,08;632,01;644,94;657,86;670,79;683,71;696,64;710,64;723,57
